Source,Target,Weight

Strike_G,Defend_G,35

Strike_G,Survivor,35

Strike_G,Neutralize,35

Strike_G,Underhanded Strike,11

Strike_G,Backflip,18

Strike_G,Doppelganger,2

Strike_G,Blur,7

Strike_G,Terror,7

Strike_G,Dodge and Roll,8

Strike_G,Dagger Throw,11

Strike_G,Flying Knee,6

Strike_G,PiercingWail,19

Strike_G,Quick Slash,9

Strike_G,Crippling Poison,5

Strike_G,Dagger Spray,14

Strike_G,Accuracy,1

Strike_G,Catalyst,8

Strike_G,Bane,9

Strike_G,Blade Dance,14

Strike_G,Infinite Blades,5

Strike_G,Phantasmal Killer,5

Strike_G,Corpse Explosion,4

Strike_G,CurseOfTheBell,4

Strike_G,Riddle With Holes,1

Strike_G,Slice,6

Strike_G,Deadly Poison,17

Strike_G,Noxious Fumes,10

Strike_G,Bite,0

Strike_G,Cloak And Dagger,6

Strike_G,Bouncing Flask,8

Strike_G,Bullet Time,3

Strike_G,Deflect,8

Strike_G,Madness,0

Strike_G,Acrobatics,15

Strike_G,Storm of Steel,2

Strike_G,After Image,3

Strike_G,Leg Sweep,8

Strike_G,RitualDagger,2

Strike_G,Wraith Form v2,2

Strike_G,Flechettes,1

Strike_G,Venomology,1

Strike_G,All Out Attack,2

Strike_G,Writhe,2

Strike_G,Prepared,15

Strike_G,Masterful Stab,5

Strike_G,Outmaneuver,7

Strike_G,Adrenaline,3

Strike_G,Night Terror,2

Strike_G,Eviscerate,3

Strike_G,Reflex,3

Strike_G,Finisher,3

Strike_G,Well Laid Plans,1

Strike_G,Sucker Punch,9

Strike_G,Transmutation,1

Strike_G,Burst,9

Strike_G,Expertise,1

Strike_G,Footwork,5

Strike_G,Parasite,1

Strike_G,Poisoned Stab,13

Strike_G,Die Die Die,2

Strike_G,Bandage Up,1

Strike_G,Caltrops,2

Strike_G,Predator,2

Strike_G,Escape Plan,1

Strike_G,Dramatic Entrance,2

Strike_G,Heel Hook,1

Strike_G,Decay,1

Strike_G,Choke,1

Strike_G,Concentrate,1

Strike_G,Calculated Gamble,5

Strike_G,Endless Agony,5

Strike_G,Tactician,1

Strike_G,Tools of the Trade,1

Strike_G,Distraction,1

Strike_G,Backstab,3

Strike_G,Skewer,2

Strike_G,Regret,1

Strike_G,Setup,2

Strike_G,A Thousand Cuts,0

Strike_G,Envenom,2

Strike_G,Glass Knife,1

Strike_G,Malaise,2

Strike_G,Necronomicurse,1

Strike_G,Discovery,1

Strike_G,Flash of Steel,1

Strike_G,Deep Breath,1

Defend_G,Survivor,40

Defend_G,Neutralize,40

Defend_G,Underhanded Strike,12

Defend_G,Backflip,21

Defend_G,Doppelganger,2

Defend_G,Blur,8

Defend_G,Terror,9

Defend_G,Dodge and Roll,10

Defend_G,Dagger Throw,13

Defend_G,Flying Knee,6

Defend_G,PiercingWail,21

Defend_G,Quick Slash,11

Defend_G,Crippling Poison,8

Defend_G,Dagger Spray,17

Defend_G,Accuracy,3

Defend_G,Catalyst,12

Defend_G,Bane,12

Defend_G,Blade Dance,17

Defend_G,Infinite Blades,6

Defend_G,Phantasmal Killer,6

Defend_G,Corpse Explosion,5

Defend_G,CurseOfTheBell,5

Defend_G,Riddle With Holes,2

Defend_G,Slice,7

Defend_G,Deadly Poison,20

Defend_G,Noxious Fumes,12

Defend_G,Bite,3

Defend_G,Cloak And Dagger,8

Defend_G,Bouncing Flask,11

Defend_G,Bullet Time,5

Defend_G,Deflect,11

Defend_G,Madness,1

Defend_G,Acrobatics,17

Defend_G,Storm of Steel,3

Defend_G,After Image,5

Defend_G,Leg Sweep,10

Defend_G,RitualDagger,2

Defend_G,Wraith Form v2,2

Defend_G,Flechettes,1

Defend_G,Venomology,2

Defend_G,All Out Attack,2

Defend_G,Writhe,2

Defend_G,Prepared,18

Defend_G,Masterful Stab,5

Defend_G,Outmaneuver,8

Defend_G,Adrenaline,4

Defend_G,Night Terror,2

Defend_G,Eviscerate,3

Defend_G,Reflex,3

Defend_G,Finisher,4

Defend_G,Well Laid Plans,2

Defend_G,Sucker Punch,11

Defend_G,Transmutation,1

Defend_G,Burst,10

Defend_G,Expertise,1

Defend_G,Footwork,8

Defend_G,Parasite,2

Defend_G,Poisoned Stab,17

Defend_G,Die Die Die,2

Defend_G,Bandage Up,1

Defend_G,Caltrops,2

Defend_G,Predator,2

Defend_G,Escape Plan,1

Defend_G,Dramatic Entrance,2

Defend_G,Heel Hook,1

Defend_G,Decay,1

Defend_G,Choke,1

Defend_G,Concentrate,1

Defend_G,Calculated Gamble,5

Defend_G,Endless Agony,5

Defend_G,Tactician,2

Defend_G,Tools of the Trade,1

Defend_G,Distraction,1

Defend_G,Backstab,3

Defend_G,Skewer,2

Defend_G,Regret,1

Defend_G,Setup,2

Defend_G,A Thousand Cuts,1

Defend_G,Envenom,2

Defend_G,Glass Knife,1

Defend_G,Malaise,3

Defend_G,Necronomicurse,1

Defend_G,Discovery,1

Defend_G,Flash of Steel,1

Defend_G,Deep Breath,1

Survivor,Neutralize,43

Survivor,Underhanded Strike,12

Survivor,Backflip,23

Survivor,Doppelganger,2

Survivor,Blur,10

Survivor,Terror,10

Survivor,Dodge and Roll,12

Survivor,Dagger Throw,13

Survivor,Flying Knee,6

Survivor,PiercingWail,23

Survivor,Quick Slash,13

Survivor,Crippling Poison,8

Survivor,Dagger Spray,18

Survivor,Accuracy,6

Survivor,Catalyst,12

Survivor,Bane,12

Survivor,Blade Dance,20

Survivor,Infinite Blades,7

Survivor,Phantasmal Killer,7

Survivor,Corpse Explosion,6

Survivor,CurseOfTheBell,5

Survivor,Riddle With Holes,2

Survivor,Slice,7

Survivor,Deadly Poison,21

Survivor,Noxious Fumes,14

Survivor,Bite,3

Survivor,Cloak And Dagger,9

Survivor,Bouncing Flask,11

Survivor,Bullet Time,5

Survivor,Deflect,14

Survivor,Madness,1

Survivor,Acrobatics,19

Survivor,Storm of Steel,4

Survivor,After Image,5

Survivor,Leg Sweep,12

Survivor,RitualDagger,2

Survivor,Wraith Form v2,2

Survivor,Flechettes,1

Survivor,Venomology,3

Survivor,All Out Attack,2

Survivor,Writhe,2

Survivor,Prepared,19

Survivor,Masterful Stab,7

Survivor,Outmaneuver,10

Survivor,Adrenaline,6

Survivor,Night Terror,2

Survivor,Eviscerate,4

Survivor,Reflex,3

Survivor,Finisher,4

Survivor,Well Laid Plans,2

Survivor,Sucker Punch,11

Survivor,Transmutation,1

Survivor,Burst,11

Survivor,Expertise,1

Survivor,Footwork,8

Survivor,Parasite,2

Survivor,Poisoned Stab,17

Survivor,Die Die Die,2

Survivor,Bandage Up,2

Survivor,Caltrops,3

Survivor,Predator,2

Survivor,Escape Plan,1

Survivor,Dramatic Entrance,2

Survivor,Heel Hook,2

Survivor,Decay,1

Survivor,Choke,2

Survivor,Concentrate,1

Survivor,Calculated Gamble,7

Survivor,Endless Agony,5

Survivor,Tactician,2

Survivor,Tools of the Trade,1

Survivor,Distraction,1

Survivor,Backstab,3

Survivor,Skewer,2

Survivor,Regret,1

Survivor,Setup,2

Survivor,A Thousand Cuts,1

Survivor,Envenom,4

Survivor,Glass Knife,2

Survivor,Malaise,5

Survivor,Necronomicurse,1

Survivor,Discovery,1

Survivor,Flash of Steel,1

Survivor,Deep Breath,1

Neutralize,Underhanded Strike,12

Neutralize,Backflip,23

Neutralize,Doppelganger,2

Neutralize,Blur,10

Neutralize,Terror,10

Neutralize,Dodge and Roll,12

Neutralize,Dagger Throw,13

Neutralize,Flying Knee,6

Neutralize,PiercingWail,23

Neutralize,Quick Slash,13

Neutralize,Crippling Poison,8

Neutralize,Dagger Spray,18

Neutralize,Accuracy,6

Neutralize,Catalyst,12

Neutralize,Bane,12

Neutralize,Blade Dance,20

Neutralize,Infinite Blades,7

Neutralize,Phantasmal Killer,7

Neutralize,Corpse Explosion,6

Neutralize,CurseOfTheBell,5

Neutralize,Riddle With Holes,2

Neutralize,Slice,7

Neutralize,Deadly Poison,21

Neutralize,Noxious Fumes,14

Neutralize,Bite,3

Neutralize,Cloak And Dagger,9

Neutralize,Bouncing Flask,11

Neutralize,Bullet Time,5

Neutralize,Deflect,14

Neutralize,Madness,1

Neutralize,Acrobatics,19

Neutralize,Storm of Steel,4

Neutralize,After Image,5

Neutralize,Leg Sweep,12

Neutralize,RitualDagger,2

Neutralize,Wraith Form v2,2

Neutralize,Flechettes,1

Neutralize,Venomology,3

Neutralize,All Out Attack,2

Neutralize,Writhe,2

Neutralize,Prepared,19

Neutralize,Masterful Stab,7

Neutralize,Outmaneuver,10

Neutralize,Adrenaline,6

Neutralize,Night Terror,2

Neutralize,Eviscerate,4

Neutralize,Reflex,3

Neutralize,Finisher,4

Neutralize,Well Laid Plans,2

Neutralize,Sucker Punch,11

Neutralize,Transmutation,1

Neutralize,Burst,11

Neutralize,Expertise,1

Neutralize,Footwork,8

Neutralize,Parasite,2

Neutralize,Poisoned Stab,17

Neutralize,Die Die Die,2

Neutralize,Bandage Up,2

Neutralize,Caltrops,3

Neutralize,Predator,2

Neutralize,Escape Plan,1

Neutralize,Dramatic Entrance,2

Neutralize,Heel Hook,2

Neutralize,Decay,1

Neutralize,Choke,2

Neutralize,Concentrate,1

Neutralize,Calculated Gamble,7

Neutralize,Endless Agony,5

Neutralize,Tactician,2

Neutralize,Tools of the Trade,1

Neutralize,Distraction,1

Neutralize,Backstab,3

Neutralize,Skewer,2

Neutralize,Regret,1

Neutralize,Setup,2

Neutralize,A Thousand Cuts,1

Neutralize,Envenom,4

Neutralize,Glass Knife,2

Neutralize,Malaise,5

Neutralize,Necronomicurse,1

Neutralize,Discovery,1

Neutralize,Flash of Steel,1

Neutralize,Deep Breath,1

Underhanded Strike,Backflip,9

Underhanded Strike,Doppelganger,1

Underhanded Strike,Blur,2

Underhanded Strike,Terror,3

Underhanded Strike,Dodge and Roll,2

Underhanded Strike,Dagger Throw,5

Underhanded Strike,Flying Knee,3

Underhanded Strike,PiercingWail,6

Underhanded Strike,Quick Slash,4

Underhanded Strike,Crippling Poison,2

Underhanded Strike,Dagger Spray,6

Underhanded Strike,Accuracy,2

